,code,country,year,set_healtchare_capita_outcomes
780,CAN,Canada,2016,0.285
781,CAN,Canada,2016,5544.612
782,CAN,Canada,2016,0.004
783,CAN,Canada,2016,608.876
784,CAN,Canada,2016,72.546
785,CAN,Canada,2016,0.04
786,CAN,Canada,2016,0.199
787,CAN,Canada,2016,35.895
788,CAN,Canada,2016,64.105
789,CAN,Canada,2016,0.075
790,CAN,Canada,2016,1416.13
791,CAN,Canada,2016,0.139
792,CAN,Canada,2016,4022.421
793,CAN,Canada,2016,0.424
794,CAN,Canada,2016,27.454
795,CAN,Canada,2016,978.654
796,CAN,Canada,2016,807.254
797,CAN,Canada,2016,100.0
798,CAN,Canada,2016,57.004
799,CAN,Canada,2016,396.652
800,CAN,Canada,2016,100.0
801,CAN,Canada,2016,71.159
802,CAN,Canada,2016,42.996
803,CAN,Canada,2016,100.0
804,CAN,Canada,2016,1522.191
