country,year,length_stay
Chile,2012,4.6
Chile,2011,4.5
Chile,2010,4.8
Chile,2009,4.7
Chile,2008,4.8
Chile,2007,5.0
Chile,2006,4.9
Chile,2005,4.9
Chile,2004,5.0
Chile,2003,5.1
Chile,2002,5.4
Chile,2001,5.4
Chile,2018,8.7
Chile,2017,8.4
Chile,2016,8.0
Chile,2015,7.7
Chile,2014,7.5
Chile,2013,7.4
Chile,2012,7.9
Chile,2011,6.9
Chile,2010,7.0
Chile,2009,7.0
Chile,2008,8.0
Chile,2007,7.1
Chile,2006,6.6
Chile,2005,6.4
Chile,2004,6.6
Chile,2006,6.3
Chile,2005,6.0
Chile,2004,6.4
Chile,2003,6.0
Chile,2002,6.2
Chile,2001,6.4
Chile,2018,6.8
Chile,2017,6.7
Chile,2016,6.3
Chile,2015,6.0
Chile,2014,6.1
Chile,2013,7.0
Chile,2012,5.5
Chile,2011,5.4
Chile,2010,5.2
Chile,2009,5.1
Chile,2008,6.0
Chile,2007,5.4
Chile,2006,5.4
Chile,2005,5.3
Chile,2004,5.5
Chile,2003,5.8
Chile,2002,6.1
Chile,2001,7.9
Chile,2018,3.5
Chile,2017,3.5
Chile,2016,3.2
Chile,2015,3.5
Chile,2014,3.6
Chile,2013,3.9
Chile,2012,3.6
Chile,2011,3.6
Chile,2010,3.6
Chile,2009,3.9
Chile,2008,3.8
Chile,2007,3.9
Chile,2006,3.8
Chile,2005,3.9
Chile,2004,3.9
Chile,2003,3.8
Chile,2002,4.3
Chile,2001,4.2
Chile,2018,2.3
Chile,2017,2.2
Chile,2016,2.3
Chile,2015,2.4
Chile,2014,2.7
Chile,2013,3.5
Chile,2012,2.6
Chile,2011,2.6
Chile,2010,2.6
Chile,2009,2.6
Chile,2008,3.0
Chile,2007,2.7
Chile,2006,2.8
Chile,2005,2.8
Chile,2004,2.9
Chile,2003,3.0
Chile,2002,3.0
Chile,2001,3.0
Chile,2018,4.4
Chile,2017,4.5
Chile,2018,1.7
